,loss,mse,val_loss,val_mse
21,0.35889968276023865,0.05919859930872917,0.274102121591568,0.04038338363170624
22,0.34276512265205383,0.05621490627527237,0.280803382396698,0.044029686599969864
23,0.34503841400146484,0.05617629736661911,0.2744700014591217,0.041547417640686035
24,0.3525685966014862,0.05780620500445366,0.27833348512649536,0.0432400144636631
25,0.33036136627197266,0.05369078367948532,0.26497381925582886,0.03937408700585365
26,0.3439791798591614,0.05582214146852493,0.2651197016239166,0.04122798144817352
27,0.3322732448577881,0.054754700511693954,0.26487502455711365,0.04078490287065506
28,0.35329458117485046,0.05809411406517029,0.2997492849826813,0.04767155274748802
29,0.33968251943588257,0.054786648601293564,0.2736243009567261,0.04272299259901047
30,0.34196504950523376,0.05713899806141853,0.2742554247379303,0.04345718026161194
31,0.32947343587875366,0.053065862506628036,0.25702163577079773,0.039699867367744446
32,0.3305171728134155,0.05501104146242142,0.25855544209480286,0.041025951504707336
33,0.331337034702301,0.05455866828560829,0.25538405776023865,0.039470259100198746
34,0.35104331374168396,0.05764937773346901,0.26616203784942627,0.042499154806137085
35,0.32629677653312683,0.05401382967829704,0.25839534401893616,0.039075691252946854
36,0.3253799378871918,0.05326378718018532,0.27259695529937744,0.04411785304546356
37,0.3303767144680023,0.05447442829608917,0.2654385566711426,0.04180704802274704
38,0.3289153277873993,0.05391975864768028,0.2800188958644867,0.04616735130548477
39,0.34101808071136475,0.05482828989624977,0.27233627438545227,0.04411003366112709
40,0.3280688226222992,0.05241522565484047,0.2781604528427124,0.04383401945233345
41,0.3081415593624115,0.04967615008354187,0.2696160078048706,0.042720697820186615
42,0.3157564401626587,0.050775669515132904,0.26060691475868225,0.04089474305510521
43,0.3171038031578064,0.05092904344201088,0.2632097005844116,0.04142605885863304
44,0.3076609671115875,0.04993053898215294,0.25414296984672546,0.04004884138703346
45,0.32428544759750366,0.052410345524549484,0.2590787708759308,0.03852788731455803
46,0.3304043114185333,0.05413268879055977,0.2707367539405823,0.0434735007584095
47,0.3234904408454895,0.052648045122623444,0.27286458015441895,0.04278617724776268
48,0.31147444248199463,0.050271883606910706,0.2665993571281433,0.042836423963308334
49,0.3103789985179901,0.052023909986019135,0.2660027742385864,0.041184160858392715
50,0.31989729404449463,0.051727376878261566,0.24718976020812988,0.03764498606324196
51,0.31947091221809387,0.05146441236138344,0.2545444965362549,0.03928885981440544
52,0.3089956045150757,0.051338259130716324,0.25830578804016113,0.039599835872650146
53,0.308933287858963,0.050474368035793304,0.24719907343387604,0.038645289838314056
54,0.3126804828643799,0.051818523555994034,0.24984726309776306,0.04050523787736893
55,0.3265765607357025,0.05172877013683319,0.24911533296108246,0.039181146770715714
56,0.3134274184703827,0.050708550959825516,0.2495327591896057,0.03995557501912117
